Total memory size (Gb)	Stacked die count	Page size	Chip IO width	Activation energy	Area efficiency	Precharge energy	Read energy	TSV area overhead	TSV energy overhead per access	TSV latency overhead	Write energy	t_CAS	t_RAS	t_RC	t_RCD	t_RP	t_RRD
"	2.0	 "	"	4	 "	"	16384	 "	"	64	 "	"	0.960565	 "	"	44.0845	 "	"	0.893015	 "	"	0.861497	 "	"	0.0016	 "	"	0.0507839	 "	"	0.722927	 "	"	0.861501	 "	"	8	 "	"	13	 "	"	18	 "	"	8	 "	"	6	 "	"	2	 "
"	2.0	 "	"	8	 "	"	8192	 "	"	1024	 "	"	2.66521	 "	"	22.0712	 "	"	2.61581	 "	"	5.23271	 "	"	0.013104	 "	"	2.1934	 "	"	2.13873	 "	"	5.23277	 "	"	10	 "	"	12	 "	"	16	 "	"	7	 "	"	7	 "	"	3	 "
"	2.0	 "	"	4	 "	"	32768	 "	"	128	 "	"	1.09277	 "	"	41.2838	 "	"	1.00622	 "	"	0.9602	 "	"	0.002368	 "	"	0.0836139	 "	"	0.722927	 "	"	0.960204	 "	"	7	 "	"	15	 "	"	18	 "	"	12	 "	"	4	 "	"	1	 "
"	1.0	 "	"	4	 "	"	16384	 "	"	128	 "	"	0.97579	 "	"	34.4729	 "	"	0.927932	 "	"	0.698605	 "	"	0.002352	 "	"	0.0831009	 "	"	0.722927	 "	"	0.698609	 "	"	6	 "	"	13	 "	"	17	 "	"	8	 "	"	6	 "	"	1	 "
"	1.0	 "	"	4	 "	"	32768	 "	"	512	 "	"	0.904965	 "	"	28.1067	 "	"	0.82696	 "	"	1.40311	 "	"	0.00696	 "	"	0.280081	 "	"	0.722927	 "	"	1.40311	 "	"	6	 "	"	14	 "	"	16	 "	"	12	 "	"	3	 "	"	1	 "
"	1.0	 "	"	8	 "	"	16384	 "	"	64	 "	"	0.705065	 "	"	41.1079	 "	"	0.662399	 "	"	0.745062	 "	"	0.001552	 "	"	0.201096	 "	"	2.13873	 "	"	0.745066	 "	"	8	 "	"	11	 "	"	14	 "	"	9	 "	"	5	 "	"	2	 "
"	1.0	 "	"	8	 "	"	32768	 "	"	128	 "	"	0.954237	 "	"	36.3157	 "	"	0.875457	 "	"	1.00293	 "	"	0.00232	 "	"	0.333778	 "	"	2.13873	 "	"	1.00294	 "	"	8	 "	"	14	 "	"	16	 "	"	13	 "	"	4	 "	"	2	 "
"	1.0	 "	"	8	 "	"	8192	 "	"	64	 "	"	0.655209	 "	"	34.3094	 "	"	0.623512	 "	"	0.68498	 "	"	0.001552	 "	"	0.201096	 "	"	2.13873	 "	"	0.684984	 "	"	8	 "	"	11	 "	"	16	 "	"	7	 "	"	7	 "	"	3	 "
"	4.0	 "	"	8	 "	"	16384	 "	"	128	 "	"	1.24831	 "	"	34.5732	 "	"	1.18276	 "	"	1.15494	 "	"	0.002368	 "	"	0.337924	 "	"	2.13873	 "	"	1.15494	 "	"	10	 "	"	14	 "	"	19	 "	"	9	 "	"	7	 "	"	3	 "
"	2.0	 "	"	4	 "	"	16384	 "	"	128	 "	"	0.993997	 "	"	34.5732	 "	"	0.928445	 "	"	0.900628	 "	"	0.002368	 "	"	0.0836139	 "	"	0.722927	 "	"	0.900632	 "	"	8	 "	"	13	 "	"	18	 "	"	8	 "	"	6	 "	"	2	 "
